low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.5,0.5,1.5,0.5,60,1.194,85,34,51,441250.0,30000.0,477070.0,438800.0,38270.0,8.72151321786691,0.06450242582779976,1150670.0,1.147,96,40,56,407920.0,40000.0,453800.0,429400.0,24400.0,5.68234746157429,0.09441071802386435,1122760.0
1.5,0.5,1.2,0.3,21,1.194,72,26,46,443450.0,0.0,443450.0,438800.0,4650.0,1.0597082953509573,0.0624126688402422,938570.0,1.147,55,18,37,442210.0,10000.0,453680.0,429400.0,24280.0,5.654401490451793,0.06404569611248274,651390.0
1.5,0.3,1.2,0.5,21,1.194,68,24,44,438460.0,0.0,438460.0,438800.0,-340.0,-0.07748404740200547,0.0624126688402422,882500.0,1.147,55,18,37,442120.0,10000.0,453590.0,429400.0,24190.0,5.633442012109921,0.06376211103438173,651060.0
1.5,0.3,1.5,0.5,60,1.194,81,32,49,440230.0,30000.0,476050.0,438800.0,37250.0,8.489061075660894,0.06475125768585802,1093570.0,1.147,95,39,56,419170.0,30000.0,453580.0,429400.0,24180.0,5.631113181183046,0.09470378898890518,1111510.0
1.2,0.8,1.2,0.5,10,1.194,79,30,49,428870.0,10000.0,440810.0,438800.0,2010.0,0.45806745670009114,0.06266884024219842,1040610.0,1.147,61,21,40,442080.0,10000.0,453550.0,429400.0,24150.0,5.624126688402422,0.06990523816527641,718660.0
1.5,0.5,1.2,0.5,21,1.194,72,26,46,439500.0,0.0,439500.0,438800.0,700.0,0.15952597994530537,0.0624126688402422,934620.0,1.147,55,18,37,442000.0,10000.0,453470.0,429400.0,24070.0,5.605496040987425,0.06397137296754347,651180.0
1.2,0.5,1.5,0.3,60,1.194,110,60,50,78690.0,300000.0,436890.0,438800.0,-1910.0,-0.43527803099361895,0.16106531388712747,1492210.0,1.147,116,65,51,63380.0,340000.0,453360.0,429400.0,23960.0,5.579878900791802,0.1933376468869362,1348640.0
1.2,0.5,1.2,0.5,10,1.194,73,27,46,427190.0,10000.0,439130.0,438800.0,330.0,0.07520510483135825,0.0624126688402422,954450.0,1.147,61,21,40,441850.0,10000.0,453320.0,429400.0,23920.0,5.570563577084304,0.06998928413842372,718890.0
1.5,0.3,1.5,0.3,21,1.194,68,24,44,451610.0,0.0,451610.0,438800.0,12810.0,2.9193254329990883,0.0624126688402422,895650.0,1.147,55,18,37,441800.0,10000.0,453270.0,429400.0,23870.0,5.5589194224499305,0.08072142946813407,650740.0
1.2,0.3,1.2,0.5,10,1.194,69,25,44,424880.0,10000.0,436820.0,438800.0,-1980.0,-0.45123062898814953,0.0624126688402422,904980.0,1.147,59,20,39,441710.0,10000.0,453180.0,429400.0,23780.0,5.537959944108057,0.06994726115185006,695730.0
1.5,0.5,1.5,0.3,21,1.194,72,26,46,456500.0,0.0,456500.0,438800.0,17700.0,4.033728350045579,0.0624126688402422,951620.0,1.147,55,18,37,441680.0,10000.0,453150.0,429400.0,23750.0,5.530973451327434,0.08122358455036197,650860.0
2.5,0.3,1.5,0.8,21,1.194,36,8,28,434290.0,0.0,434290.0,438800.0,-4510.0,-1.027803099361896,0.0624126688402422,450910.0,1.147,26,3,23,453030.0,0.0,453030.0,429400.0,23630.0,5.503027480204937,0.061064860444146205,321130.0
